Date,y_test,y_pred,Adj Close,Retorno_t,Retorno_Modelo,Retorno_Acumulado_Modelo,Retorno_Acumulado_Mercado
2019-05-17,1,0,89993.0,-0.0003443526170798794,0.0,0.0,-0.0003443526170798794
2019-05-20,1,1,91946.0,0.021701687909059686,0.02761403432449483,0.02761403432449483,0.02134986225895319
2019-05-21,0,1,94485.0,0.02761403432449483,-0.001312377626078165,0.026265416657603513,0.049553452412689936
2019-05-22,0,0,94361.0,-0.001312377626078165,0.0,0.026265416657603513,0.04817604194437042
2019-05-23,0,0,93910.0,-0.004779516961456509,0.0,0.026265416657603513,0.04316626677330504
2019-05-24,1,1,93628.0,-0.0030028750931743176,0.01320117913444685,0.0398133302623882,0.04003376877277187
2019-05-27,1,0,94864.0,0.01320117913444685,0.0,0.0398133302623882,0.053763440860215006
2019-05-28,1,0,96393.0,0.016117810760667872,0.0,0.0398133302623882,0.07074780058651009
2019-05-29,1,1,96567.0,0.0018051103295881887,0.009216398976876095,0.049396664775560595,0.07268061850173257
2019-05-30,0,1,97457.0,0.009216398976876095,-0.004381419497829775,0.04479881776755534,0.08256687105660676
2019-05-31,0,1,97030.0,-0.004381419497829775,-0.00010306090899725451,0.04469113985167694,0.07782369146005474
2019-06-03,1,1,97020.0,-0.00010306090899725451,0.0037105751391466324,0.04856754482329739,0.0777126099706742
2019-06-04,0,1,97380.0,0.0037105751391466324,-0.014181556787841498,0.03369722464049829,0.08171154358837618
2019-06-05,1,1,95999.0,-0.014181556787841498,0.012562630860738055,0.04668318129542626,0.06637118990491397
2019-06-06,1,0,97205.0,0.012562630860738055,0.0,0.04668318129542626,0.07976761752421546
2019-06-07,0,0,97821.0,0.006337122575999166,0.0,0.04668318129542626,0.08661023727006101
2019-06-10,1,0,97467.0,-0.0036188548471187687,0.0,0.04668318129542626,0.08267795254598731
2019-06-11,0,1,98960.0,0.015318005068382101,-0.006457154405820509,0.03992458637982632,0.09926241891051224
2019-06-12,1,1,98321.0,-0.006457154405820509,0.004607357532978806,0.0447158907566132,0.09216431173909134
2019-06-13,0,0,98774.0,0.004607357532978806,0.0,0.0447158907566132,0.09719630320803296
2019-06-14,0,1,98040.0,-0.007431105351610734,-0.004253365973072243,0.04027233173534106,0.08904292188749618
2019-06-17,1,1,97623.0,-0.004253365973072243,0.01824365159849628,0.05925069772307601,0.08441082378032472
2019-06-18,1,1,99404.0,0.01824365159849628,0.009043901653857045,0.06883045686006306,0.10419443703901132
2019-06-19,1,1,100303.0,0.009043901653857045,0.017048343519137088,0.08705224565232972,0.11418066293432827
2019-06-21,1,1,102013.0,0.017048343519137088,0.0004803309382137577,0.08757439047737137,0.13317559761841258
2019-06-24,0,0,102062.0,0.0004803309382137577,0.0,0.08757439047737137,0.13371989691637753
2019-06-25,1,1,100093.0,-0.01929219494033041,0.005954462350014511,0.09405031123830887,0.11184795165733541
2019-06-26,1,1,100689.0,0.005954462350014511,0.0003476050015394083,0.094430608598431,0.11846840842441986
2019-06-27,1,1,100724.0,0.0003476050015394083,0.00241253325920332,0.0970709588415648,0.118857193637252
2019-06-28,1,1,100967.0,0.00241253325920332,0.0036942763477174623,0.10112384213658099,0.12155647382920076
2019-07-01,0,1,101340.0,0.0036942763477174623,-0.007252812314979318,0.09313759757401541,0.12569981338309733
2019-07-02,1,1,100605.0,-0.007252812314979318,0.014293524178718764,0.10876238625560619,0.11753532391362254
2019-07-03,1,0,102043.0,0.014293524178718764,0.0,0.10876238625560619,0.13350884208655422
2019-07-04,1,1,103636.0,0.015611065923189171,0.004371067968659492,0.11360886200702258,0.1512041233448853
